,,,,,,,,,GRL,,ISL,,SJM,,,,,,,,,,,,,,,,
,CAN,SPM,,,,,,,,,,,,,,NOR,SWE,FIN,,,,,,,,,,,
,USA,,,,BMU,,,,,,IMN,FRO,,,,,,EST,,,,,,,,,,,
,MEX,BLZ,,BHS,,,,AIA,SXM,,IRL,GBR,,,DNK,,,LVA,,,,,,,,,,,
CPT,GTM,,,CUB,TCA,,,VGB,BLM,,,,,NLD,DEU,POL,LTU,BLR,,,,,,,,RUS,,,
,SLV,,,JAM,HTI,DOM,PRI,VIR,ATG,,,GGY,BEL,LIE,CHE,CZE,SVK,UKR,MDA,,,,,,KAZ,MNG,,,
,,HND,,CYM,XL,,KNA,MSR,LCA,,,JEY,FRA,LUX,SVN,AUT,HUN,ROU,,,ARM,GEO,UZB,KGZ,XH,XC,,,XI
,,NIC,,,,,VCT,,BRB,,PRT,ESP,MCO,SMR,HRV,BIH,SRB,BGR,TUR,SYR,IRQ,AZE,TKM,TJK,XE,CHN,PRK,,JPN
,,,CRI,,,,DMA,,,,AND,GIB,,VAT,,MNE,XKX,MKD,JOR,KWT,IRN,PAK,AFG,BGD,XD,HKG,KOR,,XN
,,,,PAN,ABW,CUW,BES,,GRD,,MLT,,,ITA,,ALB,GRC,CYP,LBN,SAU,BHR,,IND,NPL,BTN,MAC,,,
,,,,,COL,VEN,TTO,,,,,,,,,,PSX,ISR,PSE,QAT,ARE,,,MMR,LAO,VNM,XA,XM,
,UMI,,,,ECU,GUY,,,,,,ESH,MAR,DZA,TUN,LBY,EGY,,YEM,OMN,,,LKA,,THA,KHM,XB,,
,COK,PYF,PCN,,PER,BOL,SUR,,BRA,,,MRT,GMB,SEN,MLI,NER,XV,,,,,MDV,,,MYS,,PHL,,MNP
,,,,,,PRY,URY,,,,,GNB,SLE,BFA,TCD,SSD,SDN,XF,,,,,,,,BRN,,,GUM
,,,,,,CHL,,,,,,GIN,LBR,GHA,TGO,BEN,XU,ERI,DJI,,,,,,SGP,IDN,,,
,,,,,,ARG,,FLK,SGS,,CPV,,CIV,NGA,CMR,COD,XG,CAF,ETH,SOM,,,,,,TLS,,,
,,,,,,,,,,,,STP,,GNQ,COG,BDI,UGA,KEN,,,,,,,,,MHL,,
,,,,,,,,,,,,,,AGO,GAB,MWI,RWA,TZA,,,,,,,,PLW,FSM,,
,,,,,,,,,,,,,SHN,,ZMB,BWA,MOZ,,SYC,,,IOT,CCK,CXR,,PNG,NRU,KIR,
,,,,,,,,,BVT,,,,,,,NAM,ZWE,,COM,,,,,,,,SLB,TUV,WSM
,,,,,,,,,,,,,,,,,SWZ,LSO,XO,MDG,,ATF,,,NCL,,VUT,FJI,TON
,,,,,,,,,,,,,,,,,ZAF,,,MUS,,HMD,,AUS,NRK,,WLF,TKL,
,,,,,,,,,,,,,,,,,,,,,,,,,NZL,,,ASM,
,,,,,,,,,,,,,,,,ATA,,,,,,,,,,,,NIU,